Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds)
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",1315,609692 (1315),"9/30/2017 - 12/31/2017, Every day, Daily Average",4503,3699,5480
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",1320,609694 (1320),"9/30/2017 - 12/31/2017, Every day, Daily Average",4722,3889,5733
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",1369,609624 (1369),"9/30/2017 - 12/31/2017, Every day, Daily Average",3606,2885,4505
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",1517,609682 (1517),"9/30/2017 - 12/31/2017, Every day, Daily Average",4017,3206,5032
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",1540,609691 (1540),"9/30/2017 - 12/31/2017, Every day, Daily Average",4206,3451,5125
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",1597,609683 (1597),"9/30/2017 - 12/31/2017, Every day, Daily Average",4028,3296,4921
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",1643,609671 (1643),"9/30/2017 - 12/31/2017, Every day, Daily Average",3872,3133,4785
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",1673,609595 (1673),"9/30/2017 - 12/31/2017, Every day, Daily Average",3743,3053,4587
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",1680,609631 (1680),"9/30/2017 - 12/31/2017, Every day, Daily Average",3742,3048,4593
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",1682,609636 (1682),"9/30/2017 - 12/31/2017, Every day, Daily Average",3683,2953,4592
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",1688,609638 (1688),"9/30/2017 - 12/31/2017, Every day, Daily Average",3792,3064,4692
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",1695,609601 (1695),"9/30/2017 - 12/31/2017, Every day, Daily Average",3738,3017,4630
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",1703,609604 (1703),"9/30/2017 - 12/31/2017, Every day, Daily Average",3957,3151,4968
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",1704,609606 (1704),"9/30/2017 - 12/31/2017, Every day, Daily Average",3742,3017,4641
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",1715,609605 (1715),"9/30/2017 - 12/31/2017, Every day, Daily Average",3687,2962,4588
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",1723,609625 (1723),"9/30/2017 - 12/31/2017, Every day, Daily Average",3670,2941,4579
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",1741,709812 (1741),"9/30/2017 - 12/31/2017, Every day, Daily Average",4395,3591,5378
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",1749,709814 (1749),"9/30/2017 - 12/31/2017, Every day, Daily Average",4417,3588,5436
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",1757,709815 (1757),"9/30/2017 - 12/31/2017, Every day, Daily Average",4416,3626,5377
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",1762,609464 (1762),"9/30/2017 - 12/31/2017, Every day, Daily Average",3533,2825,4417
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",1772,709763 (1772),"9/30/2017 - 12/31/2017, Every day, Daily Average",4322,3527,5295
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",1774,609452 (1774),"9/30/2017 - 12/31/2017, Every day, Daily Average",3510,2793,4410
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",1786,609332 (1786),"9/30/2017 - 12/31/2017, Every day, Daily Average",3082,2254,4212
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",1789,709764 (1789),"9/30/2017 - 12/31/2017, Every day, Daily Average",4199,3375,5223
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",1801,709768 (1801),"9/30/2017 - 12/31/2017, Every day, Daily Average",4362,3513,5415
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",1806,609451 (1806),"9/30/2017 - 12/31/2017, Every day, Daily Average",3474,2768,4359
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",1809,709782 (1809),"9/30/2017 - 12/31/2017, Every day, Daily Average",4372,3481,5490
3863,"CALTRAIN MAIN STATION, SF, 700 4th St, San Francisco, CA",1816,709783 (1816),"9/30/2017 - 12/31/2017, Every day, Daily Average",4315,3451,5393
